key,English,Arabic,
locale_to_english,Set locale to English,تعيين لغة على اللغة الإنجليزية,
locale_to_arabic,Set locale to Arabic,حدد لغة اللغة العربية,
start_selling_now,"Start
selling
now",إبدأ البيع الآن,
sellects,Sellects,سيليكتس,
login,Sign In,تسجيل الدخول,
create_an_account,"Create an
account",تسجيل حساب,
sign_in_to_sellects,"Sign In to 
Sellects",تسجيل الدخول إلى سيليكتس,
create_account,Create account,إنشاء حساب,
back,Back,العودة,
language,Language,لغة,
email,Email,البريد الالكتروني,
password,Password,كلمة المرور,
dont_have_an_account,Don’t have an account?,ليس لديك حساب؟,
sign_up,Sign up,اشتراك,
your_store_state,Your store states,دول متجرك,
today,Today,اليوم,
last_seven_days,Last 7 days,اخر 7 ايام,
this_month,This month,هذا الشهر,
last_month,Last month,الشهر الماضي,
two_months,2 months,شهران,
new_orders,New orders,طلبات جديدة,
new_messages,New messages,رسائل جديدة,
new_reviews,New Reviews,تقييمات جديدة,
revenue,Revenue,الربح,((
pending_orders,Pending orders,طلبات قيد الانتظار,
delivered_orders,Delivered orders,طلبات تم تسليمها,
home,Home,الصفحة الرئيسية,
messages,Messages,الرسائل,
orders,Orders,الطلبات,
listings,Listings,القائمة,
insights,Insights,نظرة عامة,
search,Search,بحث,
all_orders,All orders,جميع الطلبات,
ship_by_date,Ship by date,شحن حسب التاريخ,
newest,Newest,الأحدث,
conversion,Conversion,التحويلات,
total_orders,Total orders,إجمالي الطلبات,
total_delivered_orders,Total delivered orders,إجمالي الطلبات المستلمة,
total_cancelled_orders,Total cancelled orders,إجمالي الطلبات الملغاة,
shipping_today,Shipping today,يشحن اليوم,
promote_banners,Promote banners,إعلان عريض,
promote_items,Promote items,اعلان المنتجات,
add_item,Add item,اضافة منتج,
item_options,Item options,خيارات المنتج,
view_item,View item,عرض المنتج,
edit_item,Edit item,تعديل المنتج,
view_chat,View chat,عرض المحادثة,
account_setting,Account setting,إعدادات الحساب,
store_details,Store details,تفاصيل المتجر,
sign_out,Sign out,تسجيل الخروج,
settings,Settings,الإعدادات,
edit_store_details,Edit store details,تعديل تفاصيل المتجر,
store_photo,Store Photo,صورة المتجر,
upload_store_photo,Upload a photo to show on the store,قم بتحميل صورة لتظهر في المتجر,
enter_store_info,Enter the store information.,أدخل معلومات المتجر.,
store_name,Store name,اسم المتجر,
store_name_arabic,Store name(Arabic),اسم المتجر (العربية),
store_address,Store address,عنوان المتجر,
store_address_arabic,Store address(Arabic),عنوان المتجر (العربية),
store_location,Store location,موقع المتجر,
fill_store_location,Fill in the location of the store,املأ موقع المتجر,
area,Area,المنطقة,
street,Street,الشارع,
block,Block,القطعة,
avenue,Avenue,جادة,
building,Building,رقم المبنى,
store_preferences,Store preferences,تفضيلات المتجر,
