key,English,Arabic
locale_to_english,تغيير اللغة للإنجليزية,
locale_to_arabic,تغيير اللغة للعربية,
welcome,مرحباً,
sellects,سيليكتس,
login,تسجيل دخول,
logout,تسجيل خروج,
phone_number,رقم الهاتف,
try_as_guest,تجربة كزائر,
authentication,مصادقة,
failed_login,محاولة تسجيل دخول فاشلة,
phone_number_missing,الرجاء إضافة رقم هاتف,
success,نجاح,
pin_empty,رمز التفعيل فارغ,
pin_invalid,رمز التفعيل خاطئ,
home_animated_text,نص,
english,إنجليزي,
home,الصفحة الرئيسية,
navHeaderText,منصة الكترونية,
category,الأقسام,
basedOnYourSearch,بناءً على ما بحثت,
products,منتجات,
profile,الصفحة الشخصية,
favourites,المفضلة,
your_orders,طلباتك,
offers,عروض,
notification,رسائل,
send_message,أرسل,
help,مساعدة,
change_language,تغيير اللغة,
yes,نعم,
no,لا,
are_you_sure,هل أنت متأكد؟,
search,بحث,
select_color,اختيار اللون,
buy,شراء,
select_size,اختيار القياس,
edit_profile,تعديل الملف الشخصي,
all_my_orders,جميع الطلبات,
invite_friends,دعوة أصدقاء,
customer_support,الدعم الفني,
rate_our_app,قيم البرنامج,
make_suggestion,الإقتراحات,
saved_address,العناوين المسجلة,
failed,فشل,
added_to_wish_list,تمت الإضافة بنجاح,
removed_from_wish_list,تمت الإزالة بنجاح,
kwd,دك,
cart,السلة,
cart_not_found,لا يوجد نتائج,
summary,ملخص,
total,المجموع الكلي,
sub_total,المجموع,
delivery_charge,التوصيل,
checkout,إتمام الطلب,
primary_address,العنوان الرئيسي,
edit,تعديل,
delete,مسح,
not_found,لا يوجد,
address_list,العناوين,
governorate,المحافظة,
area,المنطقة,
block,القطعة,
street,الشارع,
contact_first_name_missing,الرجاء إدخال الاسم الأول,
contact_last_name_missing,الرجاء إدخال الاسم الأخير,
governorate_missing,الرجاء تحديد محافظتك,
area_missing,الرجاء تحديد منطقتك,
block_missing,الرجاء تحديد رقم القطعة,
street_missing,الرجاء إضافة رقم الشارع,
location_info_missing,العنوان مفقود,
ok,موافق,
save,حفظ,
select,اختيار,
email,البريد الإلكتروني,
email_not_correct,البريد الإلكتروني صحيح,
name,الإسم,
name_missing,الإسم ناقص,
place_order,اعتماد الطلب,
shipping_address,عنوان التوصيل,
items,البضائع,
payment_method,طريقة الدفع,
promo_code,رمز الخصم,
online,متصل,
cod,الدفع عند الإستلام,
add_to_wishlist,الإضافة للمفضلة,
remove_from_wishlist,إزالة من المفضلة,
remove_address,إزالة العنوان,
cancel,إلغاء,
save_address,حفظ العنوان,
shipping_address_missing,عنوان التوصيل ناقص,
payment_method_missing,يجب اختيار طريقة الدفع,
please_select_address,الرجاء تحديد عنوان قبل المتابعة,
please_select_payment_method,الرجاء تحديد طريقة الدفع قبل المتابعة,
your_order_has_been_placed,تم الطلب بنجاح,
orders,الطلبات,
pending,قيد الانتظار,
review,مراجعة,
product_details,تفاصيل المنتج,
see_all,عرض الكل,
add_review,إضافة تقييم,
title,عنوان,
desc,وصف,
review_title_missing,عنوان التقييم مفقود,
review_desc_missing,وصف التقييم مفقود,
please_select_a_size,الرجاء اختيار قياس,
order_details,تفاصيل الطلب,
quantity_col,الكمية,
price_col,السعر,
processing,تحت التنفيذ,
cancelled,ملغي,
waiting_the_seller_to_accept,بانتظار قبول الطلب من البائع,
dispatched,تم إرسال الطلب,
rejected,مرفوض,
shipped,تم شحن الطلب,
delivered,تم الإستلام,
status,الحالة,
customer_choice_of_month,أفضل متجر هذا الشهر,
hand_crafted_for_you,مصممة لأجلك,
new_arrival,وصل حديثاً,
similar_product,منتجات مشابهة,
first_name,الإسم الأول,
last_name,الإسم الأخير,
address_title,إسم العنوان,
address_title_missing,الرجاء اضافة اسم العنوان,
write_message,كتابة رسالة,
cart_is_empty,عربة التسوق فارغة,
fav_is_empty,المفضلة فارغة,
message_is_empty,الرسائل فارغة,
add_to_cart,إضافة الى عربة تسوق,
now,الان,
see_less,تقليص,
sign_in,تسجيل الدخول,
verify,تأكد,
search_content,البحث عن منتج,
payment,دفع,
payment_successful,عملية الدفع ناجحة,
payment_failed,عملية الدفع فاشلة,
suggested_for_you,اقتراحات لك,
searching,جاري البحث,
five_star,5 نجوم,
four_star,4 نجوم,
three_star,3 نجوم,
two_star,2 نجوم,
one_star,1 نجوم,
message,رسائل,
select_quantity,الكمية,
items_from_same_store,المزيد من نفس المتجر,
send,إرسال,
updated_successfully,تم تحديث الملف الشخصي بنجاح,
enter_promo_code,إدخال رمز الخصم,
apply,اعتماد,
features,خصائص,
hand_made,صنع يدوي,
customizable,قابل للتعديل,
eco_friendly,صديق البيئة,
vintage,أثري,
change,تعديل,
you_trying_to_add_more_than_available_stock,الكمية أكثر من المخزون المتاح,
order_placed,تم انشاء الطلب,
order_accepted,تم قبول الطلب,
order_rejected,تم رفض الطلب,
order_processing,تحت التنفيذ,
order_dispatched,تم إرسال الطلب,
order_shipped,تم شحن الطلب,
add,إضافة,
email_id,عنوان البريد,
password,الرقم السري,
add_address,إضافة عنوان,
confirm_password,تأكيد الرقم السري,
search_for_items_and_store,بحث المنتجات و المتاجر,
special,مميز,
register,تسجيل,
confirm_password_not_matching,الرقم السري غير متطابق,
password_missing,الرجاء اضافة رقم سري,
password_must_be_eight,الرقم السري يجب ان يحتوي على ثمانية أحرف,
registration_failed,فشل في التسجيل,
change_password,تغيير الرقم السري,
update,تحديث,
current_password_missing,الرقم السري الحالي مفقود,
current_password,الرقم السري الحالي,
new_password,الرقم السري الجديد,
invalid_credentials,بيانات الاعتماد غير صالحة,
by_registering_i_accept,أقبل,
terms_and_condition,أحكام وشروط,
read_privacy_policy,اقرأ سياسة الخصوصية,
start_buying_now,ابدأ الشراء الآن,
delete_account,حذف الحساب,
notification_permission_text,هل ترغب في منح إذن الإشعارات؟,
notification_permission_title,إذن الإشعارات,
facebook,فيسبوك,
instagram,انستقرام,
youtube,يوتيوب,
twitter,تويتر,
account_has_been_removed,Account has been removed,
select_an_option,Select an option,
based_on_wish_list,Similar to your favorites,
trending_list,Trending,
trending_in_category_list,Recommended in ,
editors_choice,Editor's choice,
forgot_password,Forgot password,
resend_otp,Resend,
resend_otp_in,Resend in ,
reset,Reset,
recover,Recover,
otp,OTP,
privacy_policy,Privacy policy,
password_changed,Password changed,
changed_you_password,Changed you password,
please_select_a_size_color,Please select size or color,
please_select_a_size_and_color,Please select a size and color,
please_select_a_color,Please select a color,
contact_us,Contact us,
setting,Settings,
and,and,
