key,English,Arabic
locale_to_english,Set locale to English,
locale_to_arabic,Set locale to Arabic,
start_selling_now,"Start
selling
now",
sellects,Sellects,
login,Sign In,
create_an_account,"Create an
account",
sign_in_to_sellects,"Sign In to 
Sellects",
create_account,Create account,
back,Back,
language,Language,
email,Email,
password,Password,
dont_have_an_account,Don’t have an account?,
sign_up,Sign up,
your_store_state,Your store states,
today,Today,
last_seven_days,Last 7 days,
this_month,This month,
last_month,Last month,
two_months,2 months,
new_orders,New orders,
new_messages,New messages,
new_reviews,New Reviews,
revenue,Revenue,
pending_orders,Pending orders,
delivered_orders,Delivered orders,
home,Home,
messages,Messages,
orders,Orders,
listings,Listings,
insights,Insights,
search,Search,
all_orders,All orders,
ship_by_date,Ship by date,
newest,Newest,
conversion,Conversion,
total_orders,Total orders,
total_delivered_orders,Total delivered orders,
total_cancelled_orders,Total cancelled orders,
shipping_today,Shipping today,
promote_banners,Promote banners,
promote_items,Promote items,
add_item,Add item,
item_options,Item options,
view_item,View item,
edit_item,Edit item,
view_chat,View chat,
account_setting,Account setting,
store_details,Store details,
sign_out,Sign out,
settings,Settings,
edit_store_details,Edit store details,
store_photo,Store Photo,
upload_store_photo,Upload a photo to show on the store,
enter_store_info,Enter the store information.,
store_name,Store name,
store_name_arabic,Store name(Arabic),
store_address,Store address,
store_address_arabic,Store address(Arabic),
store_location,Store location,
fill_store_location,Fill in the location of the store,
area,Area,
street,Street,
block,Block,
avenue,Avenue,
building,Building,
store_preferences,Store preferences,
set_store_preference,Set the preferences of the store,
store_slug,Store slug,
payment_details,Payment details,
fill_payment_details,Fill the bank information. This information will be used to pay you.,
bank_name,Bank name,
iban,IBAN number,
reference_number,Reference number,
add_new_item,Add new item,
item_details,Item details,
fill_in_the_item_details_to_help_customer,Fill in the item details to help the customer to understand your item.,
category,Category,
sub_category,Sub Category,
item_title_english,Item title (English),
item_title_arabic,Item title (Arabic),
item_description_english,Item description (English),
item_description_arabic,Item description (Arabic),
is_the_item_handmade,Is the item handmade?,
is_the_item_eco_friendly,Is the item eco friendly?,
is_the_item_customizable,Is the item eco customizable?,
is_the_item_vintage,Is the item vintage item?,
photos,Photos,
add_upto_five_image,Add up to 5 high-quality photos to showcase your item,
variants,Variants,
add_different_variant,Add different variants of the item,
variant_type,Variance Type,
color,Color,
size,Size,
original_price,Original price,
price,Price,
stock,Stock,
add_new_variant,Add new variant,
update_variant,Update variant,
tags,Tags,
add_related_tags,Add related tags for this item,
done,Done,
pick_a_color,Pick a color,
ok,OK,
cancel,Cancel,
invalid_credentials,Invalid credentials,
kwd,KD,
single,Single,
size_only,Size only,
color_only,Color only,
size_and_color,Size & Color,
authenticate,Authenticate,
failed_to_authenticate,Failed to authenticate,
logout,Logout,
are_you_sure,Are you sure?,
first_name,First name,
last_name,Last name,
confirm_password,Confirm password,
change_language,Change language,
are_you_sure_change_language_to_english,Change language to English,
are_you_sure_change_language_to_arabic,Change language to Arabic,
description_ar,Description(Arabic),
description,Description,
facebook,Facebook,
instagram,Instagram,
twitter,Twitter,
youtube,Youtube,
slug,Store Link,
upload,Upload,
save,Save,
contact_person,Contact person,
civil_id,Civil ID,
store_image,Store image,
documents,Documents,
click_on_image_to_change_it,Click on image to change it,
name_required,Name is required,
name_arabic_required,Name in arabic is required,
desc_required,Description is required,
desc_arabic_required,Description in arabic is required,
store_status,Store status,
email_required,Email is required,
password_required,Password is required,
confirm_password_required,confirm password is required,
password_confirm_password_match,password and confirm password should match,
success,Success,
failed,Failed,
banners,Banners,
on_product,On product,
on_store,On store,
accepted,Accepted,
rejected,Rejected,
expired,Expired,
published,Published,
draft,Draft,
loading,loading..,
pending,Pending,
graph_title,Half yearly sales analysis,
add_banner,Add banner,
title,Title,
start_date,Start date,
end_date,End date,
promotion_on,Promotion on,
iban_missing,iban number is required,
name_on_card_missing,Name on card is required,
bank_name_missing,Bank name is required,
civil_id_missing,Civil ID is required,
civil_id_front,Civil ID front,
civil_id_back,Civil ID back,
bank_form,Bank form,
promotion_type,Promotion type,
promote_store,Promote store,
promote_item,Promote product,
selected_product,Selected product,
select_product,Select a product,
title_missing,Title is missing,
start_date_missing,Start date is missing,
end_date_missing,End date is missing,
end_should_be_after_start,End date should be after start date,
promotion_should_be_for_atleast,Promotion should be for at least for,
promotion_should_be_for_atmost,Promotion should be for at most for,
days,days,
image_missing,Image is missing,
active,Active,
document_need_to_be_uploaded,Document needs to be uploaded,
document_verification_in_progress,Document verification in progress,
all,All,
paused,Paused,
profile,Profile,
select_area,Select area,
block_missing,Block name is missing,
street_missing,street name is missing,
sub_category_optional,Sub category (Optional),
category_missing,Category is missing,
title_ar,Title arabic,
title_ar_missing,Title arabic missing,
desc_ar,Description arabic,
desc,Description,
continue_text,Continue,
skip,Skip,
thumbnail,Thumbnail,
image,Image,
add_variant,Add variant,
price_after_discount,Price after discount(Optional),
height,height,
width,Width,
length,length,
weight,Weight,
details_for_shipping,Details for shipping,
small,S(Small),
medium,M(Medium),
large,L(Large),
xlarge,XL(Extra large),
xxlarge,XXL(Double extra large),
add_tag,Add tag,
added_tags,Added tags,
tags_missing,Tags are missing,
tags_sample,"Multiple tags can be added with coma(,) separation",
delete,Delete,
restore,Restore,
edit_in_progress,Editing,
payment,Payment,
payment_successful,Payment successful,
payment_failed,Payment failed,
promotion_submitted,Promotion submitted for publishing,
order_details,Order details,
customer,Customer,
billing_details,Billing details,
products,Items,
status,Status,
change_status,Change status,
new_order,New order,
placed_order,Order placed,
canceled,Canceled,
reject,Reject,
address,Address,
pricing,Pricing,
order_code,Order code,
accept,Accept,
change_to_processing,Processing,
dispatch,Dispatch,
dispatched,Dispatched,
review,Review,
phone_number,Phone number,
phone_number_missing,Phone number is missing,
now,Now,
placed,Placed,
in_warehouse,In warehouse,
shipped,Shipped,
delivered,Delivered,
processing,Processing,
write_message,Write message,
send_message,Send message,
price_before_discount,Price before discount(Optional),
change_variance_type,Change variance type,
change_variance_type_comment,All variance of this product will be removed.Would you like to continue?,
please_add_atleast_one_variance,Please add at least one variance,
publishing,Publishing..,
checking_for_publishing,Checking for publishing..,
calculating_publishing_charge,Calculating publishing charge..,
fetching_your_wallet,Fetching your wallet..,
executing,Executing..,
publish_now,Publish now,
waiting_for_approval,Waiting,
